,id,course_id,come,avg_grade_point
0,0,3,1,3.1888806577234803
1,1,3,1,2.713169475638435
2,2,3,1,2.529704711928056
3,3,3,1,3.541344154863766
4,4,3,1,3.655945345220628
5,5,3,1,3.346416717252334
6,6,3,1,3.417665061992295
7,7,3,1,2.888572450005764
8,8,3,1,2.476516003498115
9,9,3,0,2.00172275945847
10,10,3,1,2.6598744895273896
11,11,3,1,3.36886528007897
12,12,3,1,2.3616950899237024
13,13,3,1,3.965373324692489
14,14,3,1,2.07686823166223
15,15,3,1,2.9619986384034576
16,16,3,1,2.2629899354063
17,17,3,1,3.739132499109384
18,18,3,1,3.2129439637101327
19,19,3,1,3.145949120658364
20,20,3,1,2.5170622027283343
21,21,3,1,3.1703131291750735
22,22,3,1,2.8001354991891736
23,23,3,1,2.6492581171988476
24,24,3,0,1.9912986342655374
25,25,3,1,1.7694702545020142
26,26,3,1,2.3960154893678927
27,27,3,1,3.318356460339198
28,28,3,1,2.748293840684881
29,29,3,1,2.105660464328034
30,30,3,1,2.465580890140658
31,31,3,1,2.776207184399449
32,32,3,1,2.549822668326019
33,33,3,1,2.753752419242348
34,34,3,1,3.1105867279208823
35,35,3,0,2.225072455493359
36,36,3,1,3.6933231055153115
37,37,3,1,3.768057892565893
38,38,3,1,2.149574874253105
39,39,3,1,3.1208995529316255
40,40,3,1,2.164890992117159
41,41,3,1,3.2241809514419915
42,42,3,1,2.737502860686012
43,43,3,1,1.0
44,44,3,1,2.557739007513251
45,45,3,1,3.8812817828133603
46,46,3,1,1.741503871866216
47,47,3,1,2.4301158954608537
48,48,3,1,2.818075838393541
49,49,3,1,4.0
50,50,3,1,2.928382149794987
51,51,3,1,3.7977245550560177
52,52,3,1,3.1240765343271457
53,53,3,1,2.7042750252803414
54,54,3,1,3.3602454360224785
55,55,3,1,2.939728944095256
56,56,3,1,3.47703474956655
57,57,3,1,3.9141760120363
58,58,3,1,3.321310035056982
59,59,3,1,1.9811147164134286
60,60,3,1,3.0649100481307108
61,61,3,1,2.2996120439003596
62,62,3,1,3.1399843264823
63,63,3,1,3.075216967707292
64,64,3,1,2.2351999675774668
65,65,3,1,2.9005858774624147
66,66,3,1,3.1050636716056776
67,67,3,1,2.4309709498463583
68,68,3,1,3.092379628931792
69,69,3,1,2.6193974782549088
70,70,3,1,3.2666116980164865
71,71,3,1,2.8567921739009305
72,72,3,1,2.975881817829613
73,73,3,1,2.196432566818121
74,74,3,1,1.612032300981813
75,75,3,1,3.23357538847095
76,76,3,1,3.801028456798256
77,77,3,0,1.5432964488830208
78,78,3,1,2.566824282788849
79,79,3,1,2.8753376969792157
80,80,3,1,3.0666568785608295
81,81,3,1,3.2601883590971505
82,82,3,1,3.859344547300364
83,83,3,1,3.4883816872653473
84,84,3,1,2.2292325149562915
85,85,3,1,1.0740962879610787
86,86,3,1,3.2748299950822366
87,87,3,1,3.0433493480300564
88,88,3,1,2.4942558916413207
89,89,3,1,2.5255980200693906
