,id,course_id,avg_grade_point,come
0,0,3,2.5064458825599227,1
1,1,3,2.357427786137094,1
2,2,3,2.9523671313012336,1
3,3,3,2.4947451671601426,1
4,4,3,2.3129591832750176,0
5,5,3,2.663738595815971,1
6,6,3,2.913579669282116,1
7,7,3,3.7063427283420136,1
8,8,3,3.1733663009962063,0
9,9,3,2.332498736055782,0
10,10,3,3.0997218542286866,1
11,11,3,3.7894904878230866,1
12,12,3,3.517893102648089,1
13,13,3,2.3770369129458366,1
14,14,3,3.4029786002327223,1
15,15,3,1.2206474291656297,0
16,16,3,3.5139983606383796,1
17,17,3,3.1282205165499333,1
18,18,3,2.5950195713203,1
19,19,3,3.180995266311375,1
20,20,3,3.737688485299118,1
21,21,3,3.3821567811184776,1
22,22,3,3.3787235763448544,1
23,23,3,3.039871664785935,1
24,24,3,4.0,1
25,25,3,3.2607490637520304,1
26,26,3,1.7281330438681872,1
27,27,3,1.7547463451639596,1
28,28,3,3.0294720229193426,1
29,29,3,2.4669710869696964,1
30,30,3,2.1998193993727972,1
31,31,3,2.439109621836126,0
32,32,3,1.48189782350988,1
33,33,3,1.801510434488225,1
34,34,3,2.229402530895549,1
35,35,3,3.8261634913582623,1
36,36,3,3.07656378877693,1
37,37,3,3.058701786519387,1
38,38,3,3.8480125020229687,1
39,39,3,3.180432884872296,1
40,40,3,2.5910558641806034,1
41,41,3,3.6496613929089614,1
42,42,3,2.2337506549129365,1
43,43,3,2.289926256670158,1
44,44,3,3.990339656296638,1
45,45,3,1.4900971930413343,1
46,46,3,2.9829530064996805,1
47,47,3,2.742033067031085,1
48,48,3,2.3403825000998353,0
49,49,3,3.360481363478178,1
50,50,3,2.920783182069745,1
51,51,3,3.6590655561238035,1
52,52,3,1.6111078928466198,1
53,53,3,1.900980218891281,1
54,54,3,1.914168739595123,1
55,55,3,2.569910508520403,1
56,56,3,3.184613228489321,1
57,57,3,1.859657434684362,1
58,58,3,3.32897196357293,1
59,59,3,3.007486054508333,1
60,60,3,2.9663178163247874,1
61,61,3,2.8320678313701997,1
62,62,3,2.926059370788738,1
63,63,3,2.1721797905716658,1
64,64,3,1.1348874801841433,1
65,65,3,2.715058664582015,1
66,66,3,3.0844609942560957,1
67,67,3,3.6821166875259683,1
68,68,3,2.878809000374583,1
69,69,3,3.803853575504106,1
70,70,3,1.0,0
71,71,3,3.6255979157605966,1
72,72,3,3.764857867951438,0
73,73,3,3.514926375583592,1
74,74,3,2.4421905677901377,1
75,75,3,2.247076003574329,1
76,76,3,2.163690813577894,1
77,77,3,3.2822351456930408,1
78,78,3,3.2495256553087697,1
79,79,3,3.526880264912564,1
80,80,3,3.527140355656616,1
81,81,3,2.3369108165650925,1
82,82,3,3.0985776245786445,1
83,83,3,2.345817796498987,1
84,84,3,2.082298864146987,0
85,85,3,3.4583731077231756,1
86,86,3,3.0202642460837916,1
87,87,3,2.769880533329209,1
88,88,3,2.983050802174416,1
89,89,3,3.7481016894390056,1
