,id,course_id,avg_grade_point,come
0,0,0,2.5064458825599227,1
1,1,0,2.357427786137094,1
2,2,0,2.9523671313012336,1
3,3,0,2.4947451671601426,1
4,4,0,2.3129591832750176,0
5,5,0,2.663738595815971,1
6,6,0,2.913579669282116,1
7,7,0,3.7063427283420136,1
8,8,0,3.1733663009962063,1
9,9,0,2.332498736055782,1
10,10,0,3.0997218542286866,1
11,11,0,3.7894904878230866,1
12,12,0,3.517893102648089,1
13,13,0,2.3770369129458366,1
14,14,0,3.4029786002327223,1
15,15,0,1.2206474291656297,1
16,16,0,3.5139983606383796,1
17,17,0,3.1282205165499333,1
18,18,0,2.5950195713203,1
19,19,0,3.180995266311375,1
20,20,0,3.737688485299118,1
21,21,0,3.3821567811184776,1
22,22,0,3.3787235763448544,1
23,23,0,3.039871664785935,1
24,24,0,4.0,1
25,25,0,3.2607490637520304,1
26,26,0,1.7281330438681872,1
27,27,0,1.7547463451639596,1
28,28,0,3.0294720229193426,1
29,29,0,2.4669710869696964,0
30,30,0,2.1998193993727972,1
31,31,0,2.439109621836126,1
32,32,0,1.48189782350988,0
33,33,0,1.801510434488225,1
34,34,0,2.229402530895549,1
35,35,0,3.8261634913582623,1
36,36,0,3.07656378877693,1
37,37,0,3.058701786519387,1
38,38,0,3.8480125020229687,1
39,39,0,3.180432884872296,1
40,40,0,2.5910558641806034,1
41,41,0,3.6496613929089614,1
42,42,0,2.2337506549129365,1
43,43,0,2.289926256670158,1
44,44,0,3.990339656296638,1
45,45,0,1.4900971930413343,1
46,46,0,2.9829530064996805,1
47,47,0,2.742033067031085,1
48,48,0,2.3403825000998353,1
49,49,0,3.360481363478178,1
50,50,0,2.920783182069745,1
51,51,0,3.6590655561238035,1
52,52,0,1.6111078928466198,0
53,53,0,1.900980218891281,1
54,54,0,1.914168739595123,1
55,55,0,2.569910508520403,1
56,56,0,3.184613228489321,1
57,57,0,1.859657434684362,1
58,58,0,3.32897196357293,1
59,59,0,3.007486054508333,1
60,60,0,2.9663178163247874,1
61,61,0,2.8320678313701997,1
62,62,0,2.926059370788738,1
63,63,0,2.1721797905716658,1
64,64,0,1.1348874801841433,0
65,65,0,2.715058664582015,1
66,66,0,3.0844609942560957,1
67,67,0,3.6821166875259683,1
68,68,0,2.878809000374583,1
69,69,0,3.803853575504106,1
70,70,0,1.0,1
71,71,0,3.6255979157605966,1
72,72,0,3.764857867951438,1
73,73,0,3.514926375583592,1
74,74,0,2.4421905677901377,1
75,75,0,2.247076003574329,1
76,76,0,2.163690813577894,1
77,77,0,3.2822351456930408,1
78,78,0,3.2495256553087697,1
79,79,0,3.526880264912564,1
80,80,0,3.527140355656616,1
81,81,0,2.3369108165650925,1
82,82,0,3.0985776245786445,1
83,83,0,2.345817796498987,0
84,84,0,2.082298864146987,1
85,85,0,3.4583731077231756,1
86,86,0,3.0202642460837916,1
87,87,0,2.769880533329209,1
88,88,0,2.983050802174416,1
89,89,0,3.7481016894390056,1
